set,phase,ms,type
baseline,load,196.341,self
baseline,load,196.341,cumulative
baseline,render,175.031,self
baseline,render,371.372,cumulative
baseline,load,192.894,self
baseline,load,192.894,cumulative
baseline,render,177.882,self
baseline,render,370.776,cumulative
baseline,load,194.174,self
baseline,load,194.174,cumulative
baseline,render,174.422,self
baseline,render,368.596,cumulative
baseline,load,193.335,self
baseline,load,193.335,cumulative
baseline,render,173.944,self
baseline,render,367.279,cumulative
baseline,load,196.28,self
baseline,load,196.28,cumulative
baseline,render,175.548,self
baseline,render,371.828,cumulative
baseline,load,194.905,self
baseline,load,194.905,cumulative
baseline,render,169.518,self
baseline,render,364.423,cumulative
experiment,load,192.44,self
experiment,load,192.44,cumulative
experiment,render,183.607,self
experiment,render,376.047,cumulative
experiment,load,195.661,self
experiment,load,195.661,cumulative
experiment,render,181.766,self
experiment,render,377.427,cumulative
experiment,load,204.154,self
experiment,load,204.154,cumulative
experiment,render,182.264,self
experiment,render,386.418,cumulative
experiment,load,199.358,self
experiment,load,199.358,cumulative
experiment,render,184.087,self
experiment,render,383.445,cumulative
experiment,load,198.72,self
experiment,load,198.72,cumulative
experiment,render,180.716,self
experiment,render,379.436,cumulative
experiment,load,196.399,self
experiment,load,196.399,cumulative
experiment,render,179.96,self
experiment,render,376.359,cumulative
experiment,load,195.99,self
experiment,load,195.99,cumulative
experiment,render,185.937,self
experiment,render,381.927,cumulative
experiment,load,196.892,self
experiment,load,196.892,cumulative
experiment,render,186.438,self
experiment,render,383.33,cumulative
experiment,load,198.009,self
experiment,load,198.009,cumulative
experiment,render,182.97,self
experiment,render,380.979,cumulative
experiment,load,203.806,self
experiment,load,203.806,cumulative
experiment,render,185.926,self
experiment,render,389.732,cumulative
experiment,load,202.878,self
experiment,load,202.878,cumulative
experiment,render,179.57,self
experiment,render,382.448,cumulative
experiment,load,198.466,self
experiment,load,198.466,cumulative
experiment,render,177.815,self
experiment,render,376.281,cumulative
experiment,load,194.386,self
experiment,load,194.386,cumulative
experiment,render,178.248,self
experiment,render,372.634,cumulative
experiment,load,195.877,self
experiment,load,195.877,cumulative
experiment,render,183.333,self
experiment,render,379.21,cumulative
experiment,load,200.905,self
experiment,load,200.905,cumulative
experiment,render,177.565,self
experiment,render,378.47,cumulative
experiment,load,204.025,self
experiment,load,204.025,cumulative
experiment,render,183.863,self
experiment,render,387.888,cumulative
experiment,load,192.021,self
experiment,load,192.021,cumulative
experiment,render,175.463,self
experiment,render,367.484,cumulative
experiment,load,193.592,self
experiment,load,193.592,cumulative
experiment,render,181.382,self
experiment,render,374.974,cumulative
experiment,load,194.106,self
experiment,load,194.106,cumulative
experiment,render,182.851,self
experiment,render,376.957,cumulative
experiment,load,193.355,self
experiment,load,193.355,cumulative
experiment,render,187.119,self
experiment,render,380.474,cumulative
experiment,load,189.931,self
experiment,load,189.931,cumulative
experiment,render,180.31,self
experiment,render,370.241,cumulative
experiment,load,193.106,self
experiment,load,193.106,cumulative
experiment,render,182.609,self
experiment,render,375.715,cumulative
experiment,load,196.63,self
experiment,load,196.63,cumulative
experiment,render,182.051,self
experiment,render,378.681,cumulative
experiment,load,192.74,self
experiment,load,192.74,cumulative
experiment,render,186.99,self
experiment,render,379.73,cumulative
experiment,load,197.685,self
experiment,load,197.685,cumulative
experiment,render,181.634,self
experiment,render,379.319,cumulative
experiment,load,195.868,self
experiment,load,195.868,cumulative
experiment,render,183.853,self
experiment,render,379.721,cumulative
experiment,load,196.588,self
experiment,load,196.588,cumulative
experiment,render,177.136,self
experiment,render,373.724,cumulative
experiment,load,203.258,self
experiment,load,203.258,cumulative
experiment,render,178.56,self
experiment,render,381.818,cumulative
experiment,load,194.822,self
experiment,load,194.822,cumulative
experiment,render,184.925,self
experiment,render,379.747,cumulative
experiment,load,198.949,self
experiment,load,198.949,cumulative
experiment,render,188.253,self
experiment,render,387.202,cumulative
experiment,load,193.418,self
experiment,load,193.418,cumulative
experiment,render,182.272,self
experiment,render,375.69,cumulative
experiment,load,197.35,self
experiment,load,197.35,cumulative
experiment,render,180.04,self
experiment,render,377.39,cumulative
experiment,load,194.42,self
experiment,load,194.42,cumulative
experiment,render,179.623,self
experiment,render,374.043,cumulative
experiment,load,197.507,self
experiment,load,197.507,cumulative
experiment,render,180.554,self
experiment,render,378.061,cumulative
experiment,load,194.237,self
experiment,load,194.237,cumulative
experiment,render,179.846,self
experiment,render,374.083,cumulative
experiment,load,195.881,self
experiment,load,195.881,cumulative
experiment,render,185.272,self
experiment,render,381.153,cumulative
experiment,load,199.033,self
experiment,load,199.033,cumulative
experiment,render,179.114,self
experiment,render,378.147,cumulative
experiment,load,195.986,self
experiment,load,195.986,cumulative
experiment,render,181.868,self
experiment,render,377.854,cumulative
experiment,load,193.252,self
experiment,load,193.252,cumulative
experiment,render,185.934,self
experiment,render,379.186,cumulative
experiment,load,196.894,self
experiment,load,196.894,cumulative
experiment,render,183.059,self
experiment,render,379.953,cumulative
experiment,load,196.043,self
experiment,load,196.043,cumulative
experiment,render,180.178,self
experiment,render,376.221,cumulative
experiment,load,194.781,self
experiment,load,194.781,cumulative
experiment,render,179.438,self
experiment,render,374.219,cumulative
experiment,load,196.552,self
experiment,load,196.552,cumulative
experiment,render,180.767,self
experiment,render,377.319,cumulative
experiment,load,196.228,self
experiment,load,196.228,cumulative
experiment,render,181.578,self
experiment,render,377.806,cumulative
experiment,load,198.369,self
experiment,load,198.369,cumulative
experiment,render,180.711,self
experiment,render,379.08,cumulative
experiment,load,198.539,self
experiment,load,198.539,cumulative
experiment,render,187.558,self
experiment,render,386.097,cumulative
experiment,load,198.975,self
experiment,load,198.975,cumulative
experiment,render,186.466,self
experiment,render,385.441,cumulative
experiment,load,199.07,self
experiment,load,199.07,cumulative
experiment,render,179.338,self
experiment,render,378.408,cumulative
experiment,load,198.687,self
experiment,load,198.687,cumulative
experiment,render,178.515,self
experiment,render,377.202,cumulative
experiment,load,195.749,self
experiment,load,195.749,cumulative
experiment,render,181.38,self
experiment,render,377.129,cumulative
