set,phase,ms,type
baseline,load,265.873,self
baseline,load,265.873,cumulative
baseline,render,199.923,self
baseline,render,465.796,cumulative
baseline,load,194.248,self
baseline,load,194.248,cumulative
baseline,render,177.376,self
baseline,render,371.624,cumulative
baseline,load,201.646,self
baseline,load,201.646,cumulative
baseline,render,174.773,self
baseline,render,376.419,cumulative
baseline,load,205.286,self
baseline,load,205.286,cumulative
baseline,render,174.131,self
baseline,render,379.417,cumulative
baseline,load,194.601,self
baseline,load,194.601,cumulative
baseline,render,176.246,self
baseline,render,370.847,cumulative
baseline,load,198.316,self
baseline,load,198.316,cumulative
baseline,render,182.737,self
baseline,render,381.053,cumulative
baseline,load,195.016,self
baseline,load,195.016,cumulative
baseline,render,171.059,self
baseline,render,366.075,cumulative
baseline,load,193.339,self
baseline,load,193.339,cumulative
baseline,render,171.964,self
baseline,render,365.303,cumulative
baseline,load,201.731,self
baseline,load,201.731,cumulative
baseline,render,177.407,self
baseline,render,379.138,cumulative
baseline,load,202.11,self
baseline,load,202.11,cumulative
baseline,render,172.705,self
baseline,render,374.815,cumulative
baseline,load,192.303,self
baseline,load,192.303,cumulative
baseline,render,180.241,self
baseline,render,372.544,cumulative
baseline,load,192.183,self
baseline,load,192.183,cumulative
baseline,render,178.897,self
baseline,render,371.08,cumulative
baseline,load,196.15,self
baseline,load,196.15,cumulative
baseline,render,173.719,self
baseline,render,369.869,cumulative
baseline,load,199.05,self
baseline,load,199.05,cumulative
baseline,render,175.056,self
baseline,render,374.106,cumulative
baseline,load,194.764,self
baseline,load,194.764,cumulative
baseline,render,173.573,self
baseline,render,368.337,cumulative
baseline,load,196.111,self
baseline,load,196.111,cumulative
baseline,render,171.02,self
baseline,render,367.131,cumulative
baseline,load,194.262,self
baseline,load,194.262,cumulative
baseline,render,172.913,self
baseline,render,367.175,cumulative
baseline,load,193.889,self
baseline,load,193.889,cumulative
baseline,render,174.358,self
baseline,render,368.247,cumulative
baseline,load,194.567,self
baseline,load,194.567,cumulative
baseline,render,171.853,self
baseline,render,366.42,cumulative
baseline,load,194.639,self
baseline,load,194.639,cumulative
baseline,render,178.241,self
baseline,render,372.88,cumulative
baseline,load,197.644,self
baseline,load,197.644,cumulative
baseline,render,177.73,self
baseline,render,375.374,cumulative
baseline,load,197.512,self
baseline,load,197.512,cumulative
baseline,render,171.964,self
baseline,render,369.476,cumulative
baseline,load,192.355,self
baseline,load,192.355,cumulative
baseline,render,173.42,self
baseline,render,365.775,cumulative
baseline,load,195.223,self
baseline,load,195.223,cumulative
baseline,render,172.305,self
baseline,render,367.528,cumulative
baseline,load,196.083,self
baseline,load,196.083,cumulative
baseline,render,175.49,self
baseline,render,371.573,cumulative
baseline,load,198.586,self
baseline,load,198.586,cumulative
baseline,render,171.795,self
baseline,render,370.381,cumulative
baseline,load,196.247,self
baseline,load,196.247,cumulative
baseline,render,172.355,self
baseline,render,368.602,cumulative
baseline,load,198.235,self
baseline,load,198.235,cumulative
baseline,render,172.087,self
baseline,render,370.322,cumulative
baseline,load,196.098,self
baseline,load,196.098,cumulative
baseline,render,178.674,self
baseline,render,374.772,cumulative
baseline,load,194.233,self
baseline,load,194.233,cumulative
baseline,render,168.433,self
baseline,render,362.666,cumulative
baseline,load,195.578,self
baseline,load,195.578,cumulative
baseline,render,175.486,self
baseline,render,371.064,cumulative
baseline,load,213.751,self
baseline,load,213.751,cumulative
baseline,render,170.585,self
baseline,render,384.336,cumulative
baseline,load,197.41,self
baseline,load,197.41,cumulative
baseline,render,168.44,self
baseline,render,365.85,cumulative
baseline,load,191.917,self
baseline,load,191.917,cumulative
baseline,render,175.422,self
baseline,render,367.339,cumulative
baseline,load,197.144,self
baseline,load,197.144,cumulative
baseline,render,182.831,self
baseline,render,379.975,cumulative
baseline,load,197.764,self
baseline,load,197.764,cumulative
baseline,render,171.287,self
baseline,render,369.051,cumulative
baseline,load,204.61,self
baseline,load,204.61,cumulative
baseline,render,175.093,self
baseline,render,379.703,cumulative
baseline,load,197.02,self
baseline,load,197.02,cumulative
baseline,render,173.249,self
baseline,render,370.269,cumulative
baseline,load,195.161,self
baseline,load,195.161,cumulative
baseline,render,173.021,self
baseline,render,368.182,cumulative
baseline,load,195.943,self
baseline,load,195.943,cumulative
baseline,render,176.621,self
baseline,render,372.564,cumulative
baseline,load,191.346,self
baseline,load,191.346,cumulative
baseline,render,169.509,self
baseline,render,360.855,cumulative
baseline,load,194.392,self
baseline,load,194.392,cumulative
baseline,render,172.47,self
baseline,render,366.862,cumulative
baseline,load,193.782,self
baseline,load,193.782,cumulative
baseline,render,177.429,self
baseline,render,371.211,cumulative
baseline,load,190.682,self
baseline,load,190.682,cumulative
baseline,render,168.951,self
baseline,render,359.633,cumulative
