set,ms,type
alpha-with-mods,237.478,duration
alpha-with-mods,0.213,compile
alpha-with-mods,52.511,run
alpha-with-mods,52.724,js
alpha-with-mods,2.19,gc
alpha-with-mods,227.265,duration
alpha-with-mods,0.2,compile
alpha-with-mods,51.509,run
alpha-with-mods,51.709,js
alpha-with-mods,2.152,gc
alpha-with-mods,227.005,duration
alpha-with-mods,0.248,compile
alpha-with-mods,56.495,run
alpha-with-mods,56.743,js
alpha-with-mods,2.035,gc
alpha-with-mods,234.018,duration
alpha-with-mods,0.246,compile
alpha-with-mods,54.641,run
alpha-with-mods,54.887,js
alpha-with-mods,2.046,gc
alpha-with-mods,231.905,duration
alpha-with-mods,0.219,compile
alpha-with-mods,54.55,run
alpha-with-mods,54.769,js
alpha-with-mods,2.117,gc
alpha-with-mods,232.987,duration
alpha-with-mods,0.261,compile
alpha-with-mods,59.016,run
alpha-with-mods,59.277,js
alpha-with-mods,2.866,gc
alpha-with-mods,232.637,duration
alpha-with-mods,0.206,compile
alpha-with-mods,52.658,run
alpha-with-mods,52.864,js
alpha-with-mods,2.22,gc
alpha-with-mods,232.022,duration
alpha-with-mods,0.219,compile
alpha-with-mods,54.117,run
alpha-with-mods,54.336,js
alpha-with-mods,2.036,gc
alpha-with-mods,231.939,duration
alpha-with-mods,0.223,compile
alpha-with-mods,59.416,run
alpha-with-mods,59.639,js
alpha-with-mods,2.455,gc
alpha-with-mods,235.821,duration
