set,phase,ms,type
alpha-with-mods,load,150.989,cumulative
alpha-with-mods,render,110.514,self
alpha-with-mods,render,261.503,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,261.525,cumulative
alpha-with-mods,load,151.301,self
alpha-with-mods,load,151.301,cumulative
alpha-with-mods,render,110.307,self
alpha-with-mods,render,261.608,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,261.63,cumulative
alpha-with-mods,load,170.608,self
alpha-with-mods,load,170.608,cumulative
alpha-with-mods,render,109.596,self
alpha-with-mods,render,280.204,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,280.227,cumulative
alpha-with-mods,load,140.013,self
alpha-with-mods,load,140.013,cumulative
alpha-with-mods,render,109.662,self
alpha-with-mods,render,249.675,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,249.698,cumulative
alpha-with-mods,load,151.936,self
alpha-with-mods,load,151.936,cumulative
alpha-with-mods,render,112.86,self
alpha-with-mods,render,264.796,cumulative
alpha-with-mods,paint,0.038,self
alpha-with-mods,paint,264.834,cumulative
alpha-with-mods,load,193.804,self
alpha-with-mods,load,193.804,cumulative
alpha-with-mods,render,109.063,self
alpha-with-mods,render,302.867,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,302.889,cumulative
alpha-with-mods,load,146.408,self
alpha-with-mods,load,146.408,cumulative
alpha-with-mods,render,108.661,self
alpha-with-mods,render,255.069,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,255.092,cumulative
alpha-with-mods,load,156.194,self
alpha-with-mods,load,156.194,cumulative
alpha-with-mods,render,109.052,self
alpha-with-mods,render,265.246,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,265.269,cumulative
alpha-with-mods,load,150.846,self
alpha-with-mods,load,150.846,cumulative
alpha-with-mods,render,108.458,self
alpha-with-mods,render,259.304,cumulative
alpha-with-mods,paint,0.024,self
alpha-with-mods,paint,259.328,cumulative
alpha-with-mods,load,144.529,self
alpha-with-mods,load,144.529,cumulative
alpha-with-mods,render,105.914,self
alpha-with-mods,render,250.443,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,250.466,cumulative
alpha-with-mods,load,147.54,self
alpha-with-mods,load,147.54,cumulative
alpha-with-mods,render,109.845,self
alpha-with-mods,render,257.385,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,257.408,cumulative
alpha-with-mods,load,156.532,self
alpha-with-mods,load,156.532,cumulative
alpha-with-mods,render,107.657,self
alpha-with-mods,render,264.189,cumulative
alpha-with-mods,paint,0.024,self
alpha-with-mods,paint,264.213,cumulative
alpha-with-mods,load,155.869,self
alpha-with-mods,load,155.869,cumulative
alpha-with-mods,render,107.433,self
alpha-with-mods,render,263.302,cumulative
alpha-with-mods,paint,0.021,self
alpha-with-mods,paint,263.323,cumulative
alpha-with-mods,load,150.6,self
alpha-with-mods,load,150.6,cumulative
alpha-with-mods,render,107.52,self
alpha-with-mods,render,258.12,cumulative
alpha-with-mods,paint,0.022,self
