set,phase,ms,type
baseline,load,570.325,self
baseline,load,570.325,cumulative
baseline,render,130.862,self
baseline,render,701.187,cumulative
baseline,load,456.355,self
baseline,load,456.355,cumulative
baseline,render,127.43,self
baseline,render,583.785,cumulative
baseline,load,459.409,self
baseline,load,459.409,cumulative
baseline,render,126.974,self
baseline,render,586.383,cumulative
baseline,load,469.916,self
baseline,load,469.916,cumulative
baseline,render,126.361,self
baseline,render,596.277,cumulative
baseline,load,451.009,self
baseline,load,451.009,cumulative
baseline,render,126.23,self
baseline,render,577.239,cumulative
baseline,load,452.591,self
baseline,load,452.591,cumulative
baseline,render,129.085,self
baseline,render,581.676,cumulative
baseline,load,456.537,self
baseline,load,456.537,cumulative
baseline,render,126.512,self
baseline,render,583.049,cumulative
baseline,load,461.358,self
baseline,load,461.358,cumulative
baseline,render,128.573,self
baseline,render,589.931,cumulative
baseline,load,453.232,self
baseline,load,453.232,cumulative
baseline,render,127.432,self
baseline,render,580.664,cumulative
baseline,load,446.365,self
baseline,load,446.365,cumulative
baseline,render,126.046,self
baseline,render,572.411,cumulative
baseline,load,463.626,self
baseline,load,463.626,cumulative
baseline,render,131.875,self
baseline,render,595.501,cumulative
baseline,load,451.688,self
baseline,load,451.688,cumulative
baseline,render,126.417,self
baseline,render,578.105,cumulative
baseline,load,453.19,self
baseline,load,453.19,cumulative
baseline,render,125.86,self
baseline,render,579.05,cumulative
baseline,load,451.232,self
baseline,load,451.232,cumulative
baseline,render,126.548,self
baseline,render,577.78,cumulative
baseline,load,444.752,self
baseline,load,444.752,cumulative
baseline,render,124.583,self
baseline,render,569.335,cumulative
baseline,load,446.064,self
baseline,load,446.064,cumulative
baseline,render,126.86,self
baseline,render,572.924,cumulative
baseline,load,448.095,self
baseline,load,448.095,cumulative
baseline,render,125.978,self
baseline,render,574.073,cumulative
baseline,load,438.737,self
baseline,load,438.737,cumulative
baseline,render,126.978,self
baseline,render,565.715,cumulative
baseline,load,447.962,self
baseline,load,447.962,cumulative
baseline,render,126.969,self
baseline,render,574.931,cumulative
baseline,load,447.172,self
baseline,load,447.172,cumulative
baseline,render,128.98,self
baseline,render,576.152,cumulative
baseline,load,450.162,self
baseline,load,450.162,cumulative
baseline,render,127.657,self
baseline,render,577.819,cumulative
baseline,load,451.95,self
baseline,load,451.95,cumulative
baseline,render,126.863,self
baseline,render,578.813,cumulative
baseline,load,447.11,self
baseline,load,447.11,cumulative
baseline,render,126.309,self
baseline,render,573.419,cumulative
baseline,load,447.279,self
baseline,load,447.279,cumulative
baseline,render,126.303,self
baseline,render,573.582,cumulative
baseline,load,449.954,self
baseline,load,449.954,cumulative
baseline,render,128.878,self
baseline,render,578.832,cumulative
baseline,load,454.306,self
baseline,load,454.306,cumulative
baseline,render,126.994,self
baseline,render,581.3,cumulative
baseline,load,444.216,self
baseline,load,444.216,cumulative
baseline,render,128.402,self
baseline,render,572.618,cumulative
baseline,load,446.959,self
baseline,load,446.959,cumulative
baseline,render,127.886,self
baseline,render,574.845,cumulative
baseline,load,448.927,self
baseline,load,448.927,cumulative
baseline,render,126.418,self
baseline,render,575.345,cumulative
baseline,load,445.632,self
baseline,load,445.632,cumulative
baseline,render,124.667,self
baseline,render,570.299,cumulative
baseline,load,455.277,self
baseline,load,455.277,cumulative
baseline,render,124.282,self
baseline,render,579.559,cumulative
baseline,load,444.954,self
baseline,load,444.954,cumulative
baseline,render,128.936,self
baseline,render,573.89,cumulative
baseline,load,453.201,self
baseline,load,453.201,cumulative
baseline,render,125.905,self
baseline,render,579.106,cumulative
baseline,load,454.475,self
baseline,load,454.475,cumulative
baseline,render,126.416,self
baseline,render,580.891,cumulative
baseline,load,455.572,self
baseline,load,455.572,cumulative
baseline,render,125.381,self
baseline,render,580.953,cumulative
baseline,load,452.307,self
baseline,load,452.307,cumulative
baseline,render,127.39,self
baseline,render,579.697,cumulative
baseline,load,442.964,self
baseline,load,442.964,cumulative
baseline,render,127.901,self
baseline,render,570.865,cumulative
baseline,load,445.4,self
baseline,load,445.4,cumulative
baseline,render,127.854,self
baseline,render,573.254,cumulative
baseline,load,450.163,self
baseline,load,450.163,cumulative
baseline,render,126.45,self
baseline,render,576.613,cumulative
baseline,load,454.682,self
baseline,load,454.682,cumulative
baseline,render,128.578,self
baseline,render,583.26,cumulative
baseline,load,453.147,self
baseline,load,453.147,cumulative
baseline,render,126.297,self
baseline,render,579.444,cumulative
baseline,load,457.582,self
baseline,load,457.582,cumulative
baseline,render,126.053,self
baseline,render,583.635,cumulative
baseline,load,446.947,self
baseline,load,446.947,cumulative
baseline,render,125.909,self
baseline,render,572.856,cumulative
baseline,load,445.115,self
baseline,load,445.115,cumulative
baseline,render,124.349,self
baseline,render,569.464,cumulative
baseline,load,450.569,self
baseline,load,450.569,cumulative
baseline,render,126.993,self
baseline,render,577.562,cumulative
baseline,load,443.915,self
baseline,load,443.915,cumulative
baseline,render,124.109,self
baseline,render,568.024,cumulative
baseline,load,455.635,self
baseline,load,455.635,cumulative
baseline,render,128.315,self
baseline,render,583.95,cumulative
baseline,load,443.561,self
baseline,load,443.561,cumulative
baseline,render,125.995,self
baseline,render,569.556,cumulative
baseline,load,447.362,self
baseline,load,447.362,cumulative
baseline,render,128.042,self
baseline,render,575.404,cumulative
baseline,load,453.072,self
baseline,load,453.072,cumulative
baseline,render,126.627,self
baseline,render,579.699,cumulative
