set,ms,type
baseline,8.761,compile
baseline,270.562,run
baseline,279.323,js
baseline,11.974,gc
baseline,701.187,duration
baseline,8.667,compile
baseline,237.883,run
baseline,246.55,js
baseline,11.686,gc
baseline,583.785,duration
baseline,100.433,compile
baseline,240.745,run
baseline,341.178,js
baseline,11.668,gc
baseline,586.383,duration
baseline,97.659,compile
baseline,249.11,run
baseline,346.769,js
baseline,11.401,gc
baseline,596.277,duration
baseline,99.249,compile
baseline,235.348,run
baseline,334.597,js
baseline,11.011,gc
baseline,577.239,duration
baseline,7.911,compile
baseline,231.953,run
baseline,239.864,js
baseline,12.172,gc
baseline,581.676,duration
baseline,7.575,compile
baseline,237.665,run
baseline,245.24,js
baseline,13.005,gc
baseline,583.049,duration
baseline,7.35,compile
baseline,239.339,run
baseline,246.689,js
baseline,12.012,gc
baseline,589.931,duration
baseline,95.865,compile
baseline,239.917,run
baseline,335.782,js
baseline,11.591,gc
baseline,580.664,duration
baseline,7.512,compile
baseline,234.678,run
baseline,242.19,js
baseline,12.186,gc
baseline,572.411,duration
baseline,7.994,compile
baseline,241.189,run
baseline,249.183,js
baseline,13.15,gc
baseline,595.501,duration
baseline,9.941,compile
baseline,235.11,run
baseline,245.051,js
baseline,11.669,gc
baseline,578.105,duration
baseline,99.767,compile
baseline,235.829,run
baseline,335.596,js
baseline,11.828,gc
baseline,579.05,duration
baseline,99.53,compile
baseline,236.185,run
baseline,335.715,js
baseline,11.752,gc
baseline,577.78,duration
baseline,7.99,compile
baseline,233.463,run
baseline,241.453,js
baseline,12.085,gc
baseline,569.335,duration
baseline,93.716,compile
baseline,234.734,run
baseline,328.45,js
baseline,12.294,gc
baseline,572.924,duration
baseline,99.165,compile
baseline,236.457,run
baseline,335.622,js
baseline,11.727,gc
baseline,574.073,duration
baseline,7.648,compile
baseline,228.289,run
baseline,235.937,js
baseline,11.04,gc
baseline,565.715,duration
baseline,10.114,compile
baseline,232.792,run
baseline,242.906,js
baseline,11.317,gc
baseline,574.931,duration
baseline,97.699,compile
baseline,233.772,run
baseline,331.471,js
baseline,11.319,gc
baseline,576.152,duration
baseline,99.349,compile
baseline,235.854,run
baseline,335.203,js
baseline,13.042,gc
baseline,577.819,duration
baseline,99.772,compile
baseline,235.883,run
baseline,335.655,js
baseline,13.003,gc
baseline,578.813,duration
baseline,96.863,compile
baseline,235.825,run
baseline,332.688,js
baseline,11.737,gc
baseline,573.419,duration
baseline,98.795,compile
baseline,234.982,run
baseline,333.777,js
baseline,11.209,gc
baseline,573.582,duration
baseline,95.886,compile
baseline,233.453,run
baseline,329.339,js
baseline,11.926,gc
baseline,578.832,duration
baseline,97.754,compile
baseline,239.681,run
baseline,337.435,js
baseline,11.393,gc
baseline,581.3,duration
baseline,7.264,compile
baseline,228.029,run
baseline,235.293,js
baseline,10.694,gc
baseline,572.618,duration
baseline,8.069,compile
baseline,232.981,run
baseline,241.05,js
baseline,11.496,gc
baseline,574.845,duration
baseline,9.791,compile
baseline,234.888,run
baseline,244.679,js
baseline,12.244,gc
baseline,575.345,duration
baseline,7.991,compile
baseline,229.672,run
baseline,237.663,js
baseline,11.612,gc
baseline,570.299,duration
baseline,99.051,compile
baseline,239.523,run
baseline,338.574,js
baseline,11.856,gc
baseline,579.559,duration
baseline,99.832,compile
baseline,230.28,run
baseline,330.112,js
baseline,11.403,gc
baseline,573.89,duration
baseline,99.369,compile
baseline,237.471,run
baseline,336.84,js
baseline,10.744,gc
baseline,579.106,duration
baseline,98.745,compile
baseline,239.065,run
baseline,337.81,js
baseline,11.195,gc
baseline,580.891,duration
baseline,101.658,compile
baseline,239.103,run
baseline,340.761,js
baseline,11.108,gc
baseline,580.953,duration
baseline,96.161,compile
baseline,239.82,run
baseline,335.981,js
baseline,12.913,gc
baseline,579.697,duration
baseline,98.147,compile
baseline,229.217,run
baseline,327.364,js
baseline,11.559,gc
baseline,570.865,duration
baseline,7.65,compile
baseline,232.397,run
baseline,240.047,js
baseline,10.958,gc
baseline,573.254,duration
baseline,8.105,compile
baseline,235.527,run
baseline,243.632,js
baseline,11.673,gc
baseline,576.613,duration
baseline,98.643,compile
baseline,234.688,run
baseline,333.331,js
baseline,12.805,gc
baseline,583.26,duration
baseline,98.982,compile
baseline,238.816,run
baseline,337.798,js
baseline,11.118,gc
baseline,579.444,duration
baseline,99.017,compile
baseline,244.064,run
baseline,343.081,js
baseline,11.669,gc
baseline,583.635,duration
baseline,8.02,compile
baseline,233.096,run
baseline,241.116,js
baseline,11.722,gc
baseline,572.856,duration
baseline,7.622,compile
baseline,234.7,run
baseline,242.322,js
baseline,11.043,gc
baseline,569.464,duration
baseline,8.571,compile
baseline,235.889,run
baseline,244.46,js
baseline,11.033,gc
baseline,577.562,duration
baseline,6.751,compile
baseline,229.348,run
baseline,236.099,js
baseline,11.82,gc
baseline,568.024,duration
baseline,97.005,compile
baseline,241.318,run
baseline,338.323,js
baseline,11.597,gc
baseline,583.95,duration
baseline,98.067,compile
baseline,231.054,run
baseline,329.121,js
baseline,11.8,gc
baseline,569.556,duration
baseline,8.33,compile
baseline,232.679,run
baseline,241.009,js
baseline,12.212,gc
baseline,575.404,duration
baseline,98.915,compile
baseline,239.916,run
baseline,338.831,js
baseline,11.203,gc
baseline,579.699,duration
