set,phase,ms,type
baseline,load,437.5,self
baseline,load,437.5,cumulative
baseline,render,122.403,self
baseline,render,559.903,cumulative
baseline,paint,0.234,self
baseline,paint,560.137,cumulative
baseline,load,431.889,self
baseline,load,431.889,cumulative
baseline,render,121.397,self
baseline,render,553.286,cumulative
baseline,paint,0.213,self
baseline,paint,553.499,cumulative
baseline,load,427.619,self
baseline,load,427.619,cumulative
baseline,render,123.295,self
baseline,render,550.914,cumulative
baseline,paint,0.214,self
baseline,paint,551.128,cumulative
baseline,load,432.501,self
baseline,load,432.501,cumulative
baseline,render,121.554,self
baseline,render,554.055,cumulative
baseline,paint,0.022,self
baseline,paint,554.077,cumulative
baseline,load,426.226,self
baseline,load,426.226,cumulative
baseline,render,122.422,self
baseline,render,548.648,cumulative
baseline,paint,0.021,self
baseline,paint,548.669,cumulative
baseline,load,427.05,self
baseline,load,427.05,cumulative
baseline,render,122.148,self
baseline,render,549.198,cumulative
baseline,paint,0.06,self
baseline,paint,549.258,cumulative
baseline,load,431.211,self
baseline,load,431.211,cumulative
baseline,render,123.235,self
baseline,render,554.446,cumulative
baseline,paint,0.021,self
baseline,paint,554.467,cumulative
baseline,load,432.459,self
baseline,load,432.459,cumulative
baseline,render,123.226,self
baseline,render,555.685,cumulative
baseline,paint,0.021,self
baseline,paint,555.706,cumulative
baseline,load,438.658,self
baseline,load,438.658,cumulative
baseline,render,121.422,self
baseline,render,560.08,cumulative
baseline,paint,0.031,self
baseline,paint,560.111,cumulative
baseline,load,443.332,self
baseline,load,443.332,cumulative
baseline,render,123.876,self
baseline,render,567.208,cumulative
baseline,paint,0.021,self
baseline,paint,567.229,cumulative
baseline,load,432.17,self
baseline,load,432.17,cumulative
baseline,render,119.241,self
baseline,render,551.411,cumulative
baseline,paint,0.229,self
baseline,paint,551.64,cumulative
baseline,load,425.354,self
baseline,load,425.354,cumulative
baseline,render,121.67,self
baseline,render,547.024,cumulative
baseline,paint,0.27,self
baseline,paint,547.294,cumulative
baseline,load,437.378,self
baseline,load,437.378,cumulative
baseline,render,121.789,self
baseline,render,559.167,cumulative
baseline,paint,0.022,self
baseline,paint,559.189,cumulative
baseline,load,428.109,self
baseline,load,428.109,cumulative
baseline,render,123.589,self
baseline,render,551.698,cumulative
baseline,paint,0.022,self
baseline,paint,551.72,cumulative
baseline,load,430.863,self
baseline,load,430.863,cumulative
baseline,render,126.11,self
baseline,render,556.973,cumulative
baseline,paint,0.021,self
baseline,paint,556.994,cumulative
baseline,load,432.742,self
baseline,load,432.742,cumulative
baseline,render,125.644,self
baseline,render,558.386,cumulative
baseline,paint,0.031,self
baseline,paint,558.417,cumulative
baseline,load,422.981,self
baseline,load,422.981,cumulative
baseline,render,122.905,self
baseline,render,545.886,cumulative
baseline,paint,0.207,self
baseline,paint,546.093,cumulative
baseline,load,425.642,self
baseline,load,425.642,cumulative
baseline,render,124.718,self
baseline,render,550.36,cumulative
baseline,paint,0.2,self
baseline,paint,550.56,cumulative
baseline,load,423.955,self
baseline,load,423.955,cumulative
baseline,render,120.408,self
baseline,render,544.363,cumulative
baseline,paint,0.023,self
baseline,paint,544.386,cumulative
baseline,load,435.552,self
baseline,load,435.552,cumulative
baseline,render,121.872,self
baseline,render,557.424,cumulative
baseline,paint,0.033,self
baseline,paint,557.457,cumulative
baseline,load,434.589,self
