set,ms,type
es5,0.926,compile
es5,64.165,run
es5,283.826,js
es5,7.743,gc
es5,97.358,parseOnBackground
es5,121.377,callFunction
es5,369.145,duration
es5,0.813,compile
es5,69.384,run
es5,207.031,js
es5,7.98,gc
es5,5.886,parseOnBackground
es5,130.948,callFunction
es5,391.002,duration
es5,0.951,compile
es5,61.88,run
es5,280.441,js
es5,8.082,gc
es5,96.901,parseOnBackground
es5,120.709,callFunction
es5,364.825,duration
es5,0.564,compile
es5,66.458,run
es5,285.442,js
es5,7.923,gc
es5,96.284,parseOnBackground
es5,122.136,callFunction
es5,371.773,duration
es5,0.771,compile
es5,62.219,run
es5,282.411,js
es5,7.446,gc
es5,93.291,parseOnBackground
es5,126.13,callFunction
es5,369.134,duration
es5,0.83,compile
es5,67.334,run
es5,202.684,js
es5,8.103,gc
es5,4.949,parseOnBackground
es5,129.571,callFunction
es5,373.125,duration
es5,0.783,compile
es5,64.945,run
es5,289.226,js
es5,7.741,gc
es5,100.025,parseOnBackground
es5,123.473,callFunction
es5,371.624,duration
es5,0.833,compile
es5,61.022,run
es5,191.457,js
es5,7.811,gc
es5,5.279,parseOnBackground
es5,124.323,callFunction
es5,366.285,duration
es5,0.752,compile
es5,60.071,run
es5,190.73,js
es5,8.037,gc
es5,6.112,parseOnBackground
es5,123.795,callFunction
es5,369.284,duration
es5,0.728,compile
es5,61.854,run
es5,281.258,js
es5,8.688,gc
es5,95.466,parseOnBackground
es5,123.21,callFunction
es5,366.022,duration
es5,0.991,compile
es5,61.801,run
es5,189.03,js
es5,8.166,gc
es5,5.086,parseOnBackground
es5,121.152,callFunction
es5,362.671,duration
es5,0.741,compile
es5,62.12,run
es5,192.685,js
es5,8.053,gc
es5,5.271,parseOnBackground
es5,124.553,callFunction
es5,369.117,duration
es5,0.795,compile
es5,63.128,run
es5,193.138,js
es5,8.564,gc
es5,5.498,parseOnBackground
es5,123.717,callFunction
es5,365.523,duration
es5,0.729,compile
es5,62.32,run
es5,193.275,js
es5,9.067,gc
es5,5.825,parseOnBackground
es5,124.401,callFunction
es5,371.949,duration
es5,0.817,compile
es5,64.92,run
es5,285.205,js
es5,8.19,gc
es5,97.149,parseOnBackground
es5,122.319,callFunction
es5,367.919,duration
es5,0.93,compile
es5,64.156,run
es5,197.887,js
es5,7.517,gc
es5,5.337,parseOnBackground
es5,127.464,callFunction
es5,367.707,duration
es5,1.147,compile
es5,62.702,run
es5,283.128,js
es5,7.565,gc
es5,95.511,parseOnBackground
es5,123.768,callFunction
es5,374.105,duration
es5,0.773,compile
es5,66.292,run
es5,198.048,js
es5,7.422,gc
es5,4.876,parseOnBackground
es5,126.107,callFunction
es5,369.237,duration
es5,0.974,compile
es5,62.126,run
es5,189.834,js
es5,7.921,gc
es5,5.39,parseOnBackground
es5,121.344,callFunction
es5,362.343,duration
es5,0.784,compile
es5,65.306,run
es5,203.91,js
es5,8.932,gc
es5,5.297,parseOnBackground
es5,132.523,callFunction
es5,379.342,duration
es5,0.738,compile
es5,65.374,run
es5,287.967,js
es5,8.598,gc
es5,96.769,parseOnBackground
es5,125.086,callFunction
es5,376.293,duration
es5,1.182,compile
es5,67.218,run
es5,290.505,js
es5,8.875,gc
es5,94.745,parseOnBackground
es5,127.36,callFunction
es5,378.219,duration
es5,0.802,compile
es5,71.804,run
es5,207.964,js
es5,7.781,gc
es5,5.552,parseOnBackground
es5,129.806,callFunction
es5,384.354,duration
es5,1.262,compile
es5,62.111,run
es5,191.636,js
es5,7.742,gc
es5,5.261,parseOnBackground
es5,123.002,callFunction
es5,364.578,duration
es5,0.592,compile
es5,64.99,run
es5,285.306,js
es5,7.468,gc
es5,97.778,parseOnBackground
es5,121.946,callFunction
es5,368.864,duration
es5,0.774,compile
es5,65.906,run
es5,199.632,js
es5,9.518,gc
es5,5.239,parseOnBackground
es5,127.713,callFunction
es5,376.078,duration
es5,0.971,compile
es5,65.9,run
es5,198.311,js
es5,7.403,gc
es5,4.9,parseOnBackground
es5,126.54,callFunction
es5,370.144,duration
es5,0.953,compile
es5,61.603,run
es5,281.562,js
es5,7.943,gc
es5,96.488,parseOnBackground
es5,122.518,callFunction
es5,364.188,duration
es5,0.984,compile
es5,62.003,run
es5,281.132,js
es5,7.505,gc
es5,92.321,parseOnBackground
es5,125.824,callFunction
es5,365.125,duration
es5,0.776,compile
es5,62.719,run
es5,194.09,js
es5,7.976,gc
es5,5.301,parseOnBackground
es5,125.294,callFunction
es5,371.465,duration
es5,0.927,compile
es5,59.942,run
es5,287.109,js
es5,9.432,gc
es5,96.928,parseOnBackground
es5,129.312,callFunction
es5,374.673,duration
es5,0.95,compile
es5,64.38,run
es5,195.634,js
es5,8.046,gc
es5,5.442,parseOnBackground
es5,124.862,callFunction
es5,372.109,duration
es5,0.784,compile
es5,64.082,run
es5,195.005,js
es5,8.972,gc
es5,5.725,parseOnBackground
es5,124.414,callFunction
es5,371.736,duration
es5,0.636,compile
es5,62.042,run
es5,196.323,js
es5,8.345,gc
es5,5.367,parseOnBackground
es5,128.278,callFunction
es5,374.079,duration
es5,0.79,compile
es5,62.901,run
es5,192.685,js
es5,7.809,gc
es5,5.148,parseOnBackground
es5,123.846,callFunction
es5,368.201,duration
es5,0.776,compile
es5,66.737,run
es5,287.437,js
es5,7.6,gc
es5,97.09,parseOnBackground
es5,122.834,callFunction
es5,370.407,duration
es5,0.931,compile
es5,61.131,run
es5,283.115,js
es5,8.315,gc
es5,94.341,parseOnBackground
es5,126.712,callFunction
es5,367.62,duration
es5,0.964,compile
es5,65.005,run
es5,198.707,js
es5,9.362,gc
es5,6.402,parseOnBackground
es5,126.336,callFunction
es5,373.059,duration
es5,0.785,compile
es5,67.276,run
es5,199.713,js
es5,8.459,gc
es5,5.369,parseOnBackground
es5,126.283,callFunction
es5,372.647,duration
es5,1.014,compile
es5,63.093,run
es5,196.378,js
es5,8.723,gc
es5,5.28,parseOnBackground
es5,126.991,callFunction
es5,371.392,duration
es5,0.753,compile
es5,65.09,run
es5,291.9,js
es5,8.526,gc
