set,phase,ms,type
baseline,load,360.431,self
baseline,load,360.431,cumulative
baseline,render,189.962,self
baseline,render,550.393,cumulative
baseline,load,246.921,self
baseline,load,246.921,cumulative
baseline,render,171.985,self
baseline,render,418.906,cumulative
baseline,load,249.016,self
baseline,load,249.016,cumulative
baseline,render,182.829,self
baseline,render,431.845,cumulative
baseline,load,241.131,self
baseline,load,241.131,cumulative
baseline,render,172.715,self
baseline,render,413.846,cumulative
baseline,load,245.355,self
baseline,load,245.355,cumulative
baseline,render,170.17,self
baseline,render,415.525,cumulative
baseline,load,248.078,self
baseline,load,248.078,cumulative
baseline,render,175.047,self
baseline,render,423.125,cumulative
baseline,load,251.238,self
baseline,load,251.238,cumulative
baseline,render,180.45,self
baseline,render,431.688,cumulative
baseline,load,249.321,self
baseline,load,249.321,cumulative
baseline,render,178.891,self
baseline,render,428.212,cumulative
baseline,load,252.935,self
baseline,load,252.935,cumulative
baseline,render,177.733,self
baseline,render,430.668,cumulative
baseline,load,249.604,self
baseline,load,249.604,cumulative
baseline,render,174.708,self
baseline,render,424.312,cumulative
baseline,load,249.679,self
baseline,load,249.679,cumulative
baseline,render,178.592,self
baseline,render,428.271,cumulative
baseline,load,244.246,self
baseline,load,244.246,cumulative
baseline,render,176.914,self
baseline,render,421.16,cumulative
baseline,load,249.872,self
baseline,load,249.872,cumulative
baseline,render,177.706,self
baseline,render,427.578,cumulative
baseline,load,252.232,self
baseline,load,252.232,cumulative
baseline,render,173.216,self
baseline,render,425.448,cumulative
baseline,load,254.777,self
baseline,load,254.777,cumulative
baseline,render,171.642,self
baseline,render,426.419,cumulative
baseline,load,247.246,self
baseline,load,247.246,cumulative
baseline,render,177.434,self
baseline,render,424.68,cumulative
baseline,load,251.493,self
baseline,load,251.493,cumulative
baseline,render,176.9,self
baseline,render,428.393,cumulative
baseline,load,243.222,self
baseline,load,243.222,cumulative
baseline,render,175.336,self
baseline,render,418.558,cumulative
baseline,load,242.879,self
baseline,load,242.879,cumulative
baseline,render,171.593,self
baseline,render,414.472,cumulative
baseline,load,245.312,self
baseline,load,245.312,cumulative
baseline,render,175.27,self
baseline,render,420.582,cumulative
baseline,load,252.696,self
baseline,load,252.696,cumulative
baseline,render,183.883,self
baseline,render,436.579,cumulative
baseline,load,247.279,self
baseline,load,247.279,cumulative
baseline,render,174.762,self
baseline,render,422.041,cumulative
baseline,load,243.739,self
baseline,load,243.739,cumulative
baseline,render,175.372,self
baseline,render,419.111,cumulative
baseline,load,253.597,self
baseline,load,253.597,cumulative
baseline,render,173.206,self
baseline,render,426.803,cumulative
baseline,load,246.724,self
baseline,load,246.724,cumulative
baseline,render,175.156,self
baseline,render,421.88,cumulative
baseline,load,238.755,self
baseline,load,238.755,cumulative
baseline,render,171.073,self
baseline,render,409.828,cumulative
baseline,load,250.968,self
baseline,load,250.968,cumulative
baseline,render,176.144,self
baseline,render,427.112,cumulative
baseline,load,253.519,self
baseline,load,253.519,cumulative
baseline,render,175.412,self
baseline,render,428.931,cumulative
baseline,load,244.658,self
baseline,load,244.658,cumulative
baseline,render,176.035,self
baseline,render,420.693,cumulative
baseline,load,245.829,self
baseline,load,245.829,cumulative
baseline,render,174.923,self
baseline,render,420.752,cumulative
baseline,load,250.693,self
baseline,load,250.693,cumulative
baseline,render,171.53,self
baseline,render,422.223,cumulative
baseline,load,243.06,self
baseline,load,243.06,cumulative
baseline,render,175.26,self
baseline,render,418.32,cumulative
baseline,load,253.726,self
baseline,load,253.726,cumulative
baseline,render,175.249,self
baseline,render,428.975,cumulative
baseline,load,251.116,self
baseline,load,251.116,cumulative
baseline,render,179.447,self
baseline,render,430.563,cumulative
baseline,load,247.782,self
baseline,load,247.782,cumulative
baseline,render,182.177,self
baseline,render,429.959,cumulative
baseline,load,247.425,self
baseline,load,247.425,cumulative
baseline,render,171.234,self
baseline,render,418.659,cumulative
baseline,load,247.379,self
baseline,load,247.379,cumulative
baseline,render,176.788,self
baseline,render,424.167,cumulative
baseline,load,258.36,self
baseline,load,258.36,cumulative
baseline,render,182.237,self
baseline,render,440.597,cumulative
baseline,load,251.282,self
baseline,load,251.282,cumulative
baseline,render,169.373,self
baseline,render,420.655,cumulative
baseline,load,255.528,self
baseline,load,255.528,cumulative
baseline,render,171.452,self
baseline,render,426.98,cumulative
baseline,load,248.125,self
baseline,load,248.125,cumulative
baseline,render,174.674,self
baseline,render,422.799,cumulative
baseline,load,248.501,self
baseline,load,248.501,cumulative
baseline,render,174.262,self
baseline,render,422.763,cumulative
baseline,load,249.333,self
baseline,load,249.333,cumulative
baseline,render,176.451,self
baseline,render,425.784,cumulative
baseline,load,251.696,self
baseline,load,251.696,cumulative
baseline,render,187.357,self
baseline,render,439.053,cumulative
baseline,load,249.025,self
baseline,load,249.025,cumulative
baseline,render,174.691,self
baseline,render,423.716,cumulative
baseline,load,247.701,self
baseline,load,247.701,cumulative
baseline,render,178.09,self
baseline,render,425.791,cumulative
baseline,load,244.649,self
baseline,load,244.649,cumulative
baseline,render,176.635,self
baseline,render,421.284,cumulative
baseline,load,250.768,self
baseline,load,250.768,cumulative
baseline,render,175.348,self
baseline,render,426.116,cumulative
baseline,load,249.169,self
baseline,load,249.169,cumulative
baseline,render,174.275,self
baseline,render,423.444,cumulative
baseline,load,252.657,self
baseline,load,252.657,cumulative
baseline,render,173.72,self
baseline,render,426.377,cumulative
unified-append,load,245.536,self
unified-append,load,245.536,cumulative
unified-append,render,174.805,self
unified-append,render,420.341,cumulative
unified-append,load,248.618,self
unified-append,load,248.618,cumulative
unified-append,render,174.968,self
unified-append,render,423.586,cumulative
unified-append,load,244.777,self
unified-append,load,244.777,cumulative
unified-append,render,172.064,self
unified-append,render,416.841,cumulative
unified-append,load,242.302,self
unified-append,load,242.302,cumulative
unified-append,render,173.088,self
unified-append,render,415.39,cumulative
unified-append,load,250.277,self
unified-append,load,250.277,cumulative
unified-append,render,178.575,self
unified-append,render,428.852,cumulative
unified-append,load,242.067,self
unified-append,load,242.067,cumulative
unified-append,render,172.285,self
unified-append,render,414.352,cumulative
unified-append,load,254.404,self
unified-append,load,254.404,cumulative
unified-append,render,172.196,self
unified-append,render,426.6,cumulative
unified-append,load,249.785,self
unified-append,load,249.785,cumulative
unified-append,render,179.921,self
unified-append,render,429.706,cumulative
unified-append,load,248.772,self
unified-append,load,248.772,cumulative
unified-append,render,175.901,self
unified-append,render,424.673,cumulative
unified-append,load,247.58,self
unified-append,load,247.58,cumulative
unified-append,render,174.191,self
unified-append,render,421.771,cumulative
unified-append,load,247.949,self
unified-append,load,247.949,cumulative
unified-append,render,197.844,self
unified-append,render,445.793,cumulative
unified-append,load,242.705,self
unified-append,load,242.705,cumulative
unified-append,render,175.759,self
unified-append,render,418.464,cumulative
unified-append,load,271.148,self
unified-append,load,271.148,cumulative
unified-append,render,184.573,self
unified-append,render,455.721,cumulative
unified-append,load,243.974,self
unified-append,load,243.974,cumulative
unified-append,render,171.014,self
unified-append,render,414.988,cumulative
unified-append,load,246.026,self
unified-append,load,246.026,cumulative
unified-append,render,174.825,self
unified-append,render,420.851,cumulative
unified-append,load,242.694,self
